2018-08-08 02:03:36 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2018-08-08 02:03:36 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2018-08-08 02:03:36 install insserv:amd64 <none> 1.14.0-5ubuntu3
2018-08-08 02:03:36 status half-installed insserv:amd64 1.14.0-5ubuntu3
2018-08-08 02:03:36 status unpacked insserv:amd64 1.14.0-5ubuntu3
2018-08-08 02:03:36 status unpacked insserv:amd64 1.14.0-5ubuntu3
2018-08-08 02:03:36 install libacl1:amd64 <none> 2.2.52-3
2018-08-08 02:03:36 status half-installed libacl1:amd64 2.2.52-3
2018-08-08 02:03:36 status unpacked libacl1:amd64 2.2.52-3
2018-08-08 02:03:36 status unpacked libacl1:amd64 2.2.52-3
2018-08-08 02:03:36 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2018-08-08 02:03:36 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2018-08-08 02:03:36 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2018-08-08 02:03:36 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2018-08-08 02:03:36 install libattr1:amd64 <none> 1:2.4.47-2
2018-08-08 02:03:36 status half-installed libattr1:amd64 1:2.4.47-2
2018-08-08 02:03:36 status unpacked libattr1:amd64 1:2.4.47-2
2018-08-08 02:03:36 status unpacked libattr1:amd64 1:2.4.47-2
2018-08-08 02:03:36 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2018-08-08 02:03:36 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2018-08-08 02:03:36 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-08-08 02:03:36 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-08-08 02:03:36 install libaudit1:amd64 <none> 1:2.4.5-1ubuntu2
2018-08-08 02:03:36 status half-installed libaudit1:amd64 1:2.4.5-1ubuntu2
2018-08-08 02:03:36 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
